segment_id,UK_2021_Viacheslav_Stelmakh_Kolhosp_tvaryn,UK_1991_Oleksii_Drozdovskyi_Skotoferma,UK_1992_Natalia_Okolitenko_Skotokhutir,UK_1991_Yurii_Shevchuk_Ferma_rai_dlia_tvaryn,UK_1984_Iryna_Dybko_Khutir_tvaryn,UK_2020_Bohdana_Nosenok_Kolhosp_tvaryn,EN_1945_George_Orwell_Animal_Farm,UK_1947_Ivan_Cherniatynskyi_Kolhosp_tvaryn,lapa_translations_combine
10,"Незабаром почали прибувати й інші тварини, вмощуючись у хліві кому як зручно.","Незабаром уся твариняча громада була у зборі, й усі почали розташовуватися якнайвигідніше, кожен на свій манір.","Доки тварини посходились та влаштувалися кожен на свій смак, минуло чимало часу.",Тим часом мешканці ферми помалу сходилися і вмощувалися кому де зручніше.,"Як тільки ніч розгорнула свої темні крила, почали приходити до стайні тварини і вони почали примощуватися в міру своєї вигоди.",---,Before long the other animals began to arrive and make themselves comfortable after their different fashions.,"Давненько вже тварини почали прибувати і розсаджуватись, кожна на свій спосіб.",Незабаром інші тварини почали прибувати та облаштовуватися по-різному.
11,"Першими прибігли троє собак — Квітка, Джессі та Пінчер. За ними притрюхикали свині й одразу ж повкладалися на солому прямісінько перед платформою.","Першими, як завжди, з’явилися собаки — Блубелл, Джессі та Пінчер, за ними повагом увійшла свинота, яка одразу зайняла усі перші місця на соломі перед помостом.","Першими прибігли три собаки — Блюбел, Джессі й Пінчер, а за ними свині, які захопили місця на соломі перед узвишшям.","Першими прибігли троє псів — Квітка, Джессі та Пінчер, а за ними й свині; ті повкладалися на солому перед самим підвищенням.","Першими були пси Белов, Джесов і Пінков, в вслід за ними прийшли свині й вони посідали зразу ж перед підвищенням, що на ньому сидів у задумі Марков.","Першою прибігла трійка собак: Джессі, Блюбелл і Пінчер. За ними — свині, які одразу вклалися на солому поблизу трибуни.","First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.","Спершу прийшло троє собак: Мурко, Лисько, Бровко, потім свині, що посідали перед самим помостом.","Спочатку прийшли три собаки, Блубелл, Джессі та Пінчер, а потім свині, які одразу ж влаштувалися в соломі перед платформою."
12,Кури повмощувалися на підвіконнях; голуби позлітали на крокви; вівці й корови полягали за свиньми та взялися ремигати.,"Кури, як одна, позлітали на лутки, голуби ще вище на крокви, вівці й корови полягали позаду свиней і заходилися, як одне, ремигати.","Кури повистрибували на підвіконня, голуби, штовхаючись, обсіли бантини, вівці та корови вмостилися за свиньми й заходилися ремигати.","Кури злітали на підвіконня, голуби вмощувалися на балках, вівці й корови лягали за свиньми й відразу починали ремиґати.","Кури присіли на віконних вітринах, а голуби на кроквах стайні. Овечки й корови поклались за свиньми й негайно почали жувати.","Кури влаштувалися на підвіконнях, голуби злетіли на крокви, вівці та корови, не припиняючи ліниво ремиґати, повлягалися за свиньми.","The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud.","Кури позасідали на підвіконнях, голуби пурхнули аж на крокви, корови та вівці полягали за свиньми і почали ремиґати.","Кури сіли на підвіконня, голуби злетіли до крокв, вівці та корови лягли за свинями і почали жувати жуйку."
13,"Поволі, дуже обережно переставляючи свої величезні, укриті шерстю копита, аби не наступити на якесь мале звірятко, що заховалося в соломі, у хлів біч-о-біч зайшло двоє тяглових коней, Боксер і Конюшинка.","Водночас, як завжди, прийшла пара запряжених коней — Конюшина та Боксер, крокуючи неквапливо й обережно, щоб, бува, не наступити своїми могутніми волохатими ногами на котрогось із менших сестер чи братів, що примостилися на соломі.","У парі прийшли коні Боксер і Кловер; ступали вони неквапно, ощадливо ставлячи свої широкі кошлаті копита.","Двоє ломовиків, Боксер та Конюшинка, прийшли разом; вони вкрай повільно і обережно переставляли величезні копита з навислою над ними кошлатою шерстю, аби часом не наступити на непомітну в соломі дрібну тварину.","Повільною ходою увійшло двоє працьовитих коней, Конева і Добрилов, йшли вони по соломі обережно, щоб ненароком не наступити на кого.","Боксер і Люцерна, тяглові коні, увійшли одночасно, дуже повільно й обережно ставлячи свої величезні копита, щоб, бува, не зачепити випадково якусь тваринку, що зарилася в соломі.","The two cart-horses, Boxer and Clover, came in together, walking very slowly and setting down their vast hairy hoofs with great care lest there should be some small animal concealed in the straw.","Гнідко та Конюшина, двоє робочих коней, увійшли разом, ступаючи дуже помалу і ставлячи широкі волохаті копита незвичайно обережно, щоб не наступити на якусь малу тваринку, може приховану в соломі.","Два вози, Боксер і Кловер, прийшли разом, йдучи дуже повільно і ставлячи свої величезні волохаті копита з великою обережністю, щоб не зачепити якусь маленьку тварину, заховану в соломі."
14,"Конюшинка була опасистою, лагідною кобилою майже середнього віку, що так і не змогла повернути собі колишню стрункість після народження чотирьох лошат.","Конюшина була рослою ставною кобилою, яка останніми часами безнадійно поогряднішала, особливо після народження четвертого лошачка.","Кловер була середнього віку рослява кобила, яка по четвертому лошаті геть зовсім стала репетею;","Конюшинка, середнього віку, по-материнському лагідна кобила, так і не повернула колишньої стрункості після четвертого лошати.","Конева була середнього росту й віку, тільки ж після четвертого лошати не повернулась до свого, колись стрункого, вигляду.","Люцерна, кобила середніх років, лагідна й огрядна матрона — після четвертого лошати їй вже не вдалося відновити фігуру.","Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal.","Конюшина була гладка материнського вигляду кобила, що віком наближалася вже до середніх літ; після четвертого лошати вже не повернувся їй її стрункий стан.","Кловер була міцною, схожою на матір кобилою, яка наближалася до середини життя і ніколи не могла повернути свою фігуру після четвертого лошати."
15,"Боксер був велетенським жеребцем, що зростом сягав ледь не вісімнадцяти долонь, а силою не поступався двом звичайним коням разом узятим.","Боксер ростом сягав мало не двох метрів, а за силою міг би легко дати фору двом звичайним конякам, коли б ті раптом надумали з ним змагатися.","Боксер хоч на кого міг справити враження — в холці шість футів заввишки, він тягнув за двох битюгів.","Боксер, величезний конячина, під два метри заввишки, мав силу чи не двох звичайних коней.","Добрилов, кремезний кінь із непересічною силою, була ж вона в нього за двох.","Боксер — величезний кінь, майже два метри заввишки, мав силу, яка зробила б честь парі звичайних коней,","Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together.","Боксер був худобина велетенська, майже вісімнадцять п'ядей заввишки, а силою дорівнював двом звичайним коням.","Боксер був величезним звіром, майже вісімнадцять рук заввишки, і таким сильним, як будь-які два звичайні коні разом."
16,Біла смужка на носі надавала йому дещо дурнуватого вигляду — та й узагалі Боксер не надто виділявся своїм розумом — однак на фермі його всі поважали за спокійну вдачу та незрівнянну працездатність.,"Біла смуга уздовж усього храпа надавала йому ледь дурнуватого вигляду, та й, по правді кажучи, великим розумом він ніколи не відрізнявся: загальну повагу йому забезпечували його рівна, лагідна вдача та воістину неймовірна працьовитість.","Біла поперекова пасмуга надавала його пиці дурнуватого виразу — втім, він і був таким, а любили його за спокійну вдачу та надзвичайну працьовитість.","Біла смуга на морді надавала йому трохи дурнуватого вигляду. Він і справді не відзначався розумом, але всі шанували його за врівноважену вдачу і нечувану працездатність.","Біла смуга від чола до носа надавала йому не дуже то цікавого вигляду і ще натякала на невибагливий рівень ума, що, до речі, було у згоді з дійсністю. Але хоч і не грішив Добрилов спроможностями бистрого ума, всі тварини ставились до нього з великою пошаною, бо був він добрягою із стійким характером і велетенською силою.","а через білу смугу на морді, мав трохи дурнуватий вигляд. Власне, він і справді не відзначався розумом, зате його шанували за непохитну врівноваженість і величезну працездатність.","A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work.","Біла смуга, що прикрашувала, надавала йому досить тупого вигляду; та й у дійсності второпність його була далеко не надзвичайна, за те його загально поважали за стійкість характеру і необмежну працездатність.","Біла смуга вздовж носа надавала йому трохи дурного вигляду, і насправді він не був особливо розумним, але його universally поважали за стійкість характеру та величезні можливості для роботи."
17,За кіньми до хліва зайшли біла коза Мюріель і віслюк Бенджамін. Бенджамін був найстаршим мешканцем ферми і мав найгірший з усіх норов.,"Слідом за кіньми придибали біла коза Муріелла та віслюк Бенджамін, найстаріший за віком житель ферми, і, далебі, з найпаскуднішою вдачею.",За кіньми придріботіли біла коза Мюріель і віслюк Бенджамін. На фермі він жив найдовше і мав на рідкість прикру вдачу.,"За кіньми прийшли біла коза Мюріел та осел Бенджамін, найстаріший на фермі і кепського норову.",Після коней прийшла коза Мурка і осел Молчазніков. [Він був найстарший із усіх тварин],"Слідом за кіньми прийшла біла коза Мюріель та осел Бенджамін, що був найстарший за всіх тварин на фермі, а ще вирізнявся упертим норовом.","After the horses came Muriel, the white goat, and Benjamin, the donkey. Benjamin was the oldest animal on the farm, and the worst tempered.","За кіньми прийшла біла коза Дереза із ослом Беніяміном. Беніямін був найстаршою твариною на хуторі, з найгіршим від усіх настроєм.","Після коней прийшли Мюріел, біла коза, та Бенджамін, осел. Бенджамін був найстарішою твариною на фермі та мав найгірший характер."
18,"Він рідко щось казав, а коли й розтуляв рота, то переважно для того, аби кинути якесь в’їдливе зауваження — наприклад, він часто казав, що Бог дав йому хвоста для того, щоб відганяти мух, однак він би краще обійшовся без мух і без хвоста.","Загалом мовчазний, він розтуляв пельку хіба лиш для того, щоб висловити якусь капость: мовляв, слава богу, що той дав йому хвоста, яким можна відганяти ґедзів, та чи не краще було б, коли б він забрав і тих ґедзів, і того хвоста.","Здебільшого мовчав, коли ж здобувався на слово, то нікого воно не тішило; так одного разу процідив, що Господь Бог обдарував його хвостом, аби оганятися, та він би волів обходитися без хвоста, але ж і без гедзів.","Коли він і промовляв слова, то тільки аби докинути щось ущипливе; наприклад, він казав, що Бог наділив його хвостом, аби відганяти мух, але куди краще було б і без хвоста, і без мух.","Він був найстарший із усіх тварин, не любив ні з ким говорити, але як уже конечність цього вимагала, тоді висловлювався лаконічно в тоні цинізму та іронії.","Говорив він небагато, та й те жовчно, бо все йому було не так. Наприклад, казав, що, мовляв, Бог йому дав хвіст — відганяти мух, але він вважав би за краще, щоб не було ні мух, ні хвоста.","He seldom talked, and when he did, it was usually to make some cynical remark — for instance, he would say that God had given him a tail to keep the flies off, but that he would sooner have had no tail and no flies.","Він зрідка відзивався, хіба тільки на те, щоб висловити якесь цинічне заввження; так, наприклад, часто казав, що дійсно Господь дав йому хвіст на те, щоб відганятися від мух, але що він би був більш радий, коли б міг обійтись без хвоста і без мух.","Він рідко говорив, а коли говорив, то зазвичай робив якийсь цинічний коментар — наприклад, він казав, що Бог дав йому хвіст, щоб відганяти мух, але що він краще б не мав ні хвоста, ні мух."
19,"Лише він один серед усіх тварин на фермі ніколи не сміявся. Коли його питали чому, він зазвичай відповідав, що не бачить нічого смішного.","Ще нікому на фермі не вдалося побачити чи почути, як він сміється, а на природне запитання, чому він такий понурий, відповідь у нього була завжди одна: «А я не бачу тут нічого смішного».","Бенджамін єдиний з усіх ніколи не сміявся й на запитання, чому такий похмурий, відповідав, що приводу для веселощів не бачить.","Він єдиний з усіх мешканців ніколи не сміявся. А коли питали чому, то казав, що не бачить причини.","Його ніхто і ніколи не бачив усміхненим, чи вдоволеним, а на запит чому він непривітно дивиться на всіх, відповідав, що просто не бачить причини на привітність ані на усмішку в житті.","Серед усіх тварин ферми віслюк єдиний ніколи не сміявся, а якщо запитували — чому, то відповідав, що не бачить для цього причини.","Alone among the animals on the farm he never laughed. If asked why, he would say that he saw nothing to laugh at.","Єдиний з усіх тварин на хуторі, він ніколи не сміявся. Коли ж його питали чому це так, він, звичайно, відповідав, що не бачить нічого такого з чого можна було б сміятись.","Один серед тварин на фермі він ніколи не сміявся. Якщо його запитували, чому, він відповідав, що не бачить нічого, над чим варто сміятися."
20,"Водночас, хоч Бенджамін і не визнавав цього відверто, він з великою прихильністю ставився до Боксера. Щонеділі ці двоє зазвичай біч-о-біч паслися на невеличкому вигулі за садком; при цьому жоден із них ніколи не зронював і слова.","Як не дивно, щира приязнь єднала його з Боксером, хоча сам він ніколи цього не визнавав, і ще не було неділі, якої б вони не провели разом, пліч-о-пліч на невеличкім випасі за фруктовим садом, мирно поскубуючи травицю у цілковитій мовчанці.","Однак він був приязний до Боксера, й недільні дні вони збавляли плече до плеча, мовчки смикаючи травичку в загоні поряд із садом.","Він обожнював Боксера, хоч відверто цього й не виказував; недільні дні вони проводили в невеликому загоні за садком, де мовчки паслися поруч.","Але в його нетовариськості був виняток, він любив (не признаючись до цього) перебувати поруч Добрилова, кожну неділю, на пасовиську. Хоч і не промовив ні слова до Добрилова, в його товаристві почував себе дуже добре й вигідно.","Та була в нього одна слабинка: понад усе він цінував свою дружбу з Боксером, хоч і приховував це. У неділю їх ніхто не міг розлучити: зазвичай вони паслися поруч і мовчали.","Nevertheless, without openly admitting it, he was devoted to Boxer; the two of them usually spent their Sundays together in the small paddock beyond the orchard, grazing side by side and never speaking.","А в тім він був щиро відданий Боксерові, хоч до цього явно не признавався. Вони, звичайно, проводили недільні дні удвох на малому вигоні за садком, де скубли травицю побіч себе, завжди мовчки.","Проте, не зізнаючись собі в цьому, він був відданий Боксеру; вони двоє зазвичай проводили свої неділі разом у маленькому загоні за садом, пасучись пліч-о-пліч і ніколи не розмовляючи."
